,Customer_name,Reviewed_date,Ratings,Reviews,Review_title
786,Dhawal Mathur,16 June 2019,5.0 out of 5 stars,  Thank you amazon finally I got full paking I phone 7 easily can use to one hand.,
787,Mahesh,10 July 2020,5.0 out of 5 stars,  Wi-Fi is not greayed not working,
788,Amazon Customer,23 July 2019,5.0 out of 5 stars,  Part missing and seems to be refurbished phone been sold as new,
789,sumit singh yadav,8 March 2021,2.0 out of 5 stars,  I have purchased the phone on 04/09/2020. The headphone is not working .,
790,Shanmukh srikanth M,1 February 2021,2.0 out of 5 stars,  Good,
791,virender singh,27 November 2020,1.0 out of 5 stars,"  Awesome phone,but battery power is little lowBest smartphone ever in this price rangeWith premium feelOtherwise oneplus5t also goodBut yaar jo maja i phone chalane me hai vo android me nhi",
792,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  I am completely satisfied satisfied with the performance of this phone. But battery is a minor concern for me.,
793,jaywant,29 October 2018,1.0 out of 5 stars,  Awesome,
794,vasudev,17 October 2017,5.0 out of 5 stars,"  Obviously, it's an iPhone.",
795,Pankaj C.,5 May 2021,1.0 out of 5 stars,  We liked the phone,
796,Andy,24 January 2019,5.0 out of 5 stars,  Size is so comfortable,
797,Amazon Customer,25 May 2021,1.0 out of 5 stars,  Battery life is too bad and the phone is getting heated up alwaysWant to replace,
798,ladle khan,7 January 2021,5.0 out of 5 stars,  Amazing phone I suggest everyone to have this phone. The only thing is that the silence toggle on the left starts to loose it’s color over a period by using it many times. Everything else is perfect.,
799,Kiran A.,19 September 2020,1.0 out of 5 stars,"  Worst ever never order the phone from this seller , phone gets over heated and iam writing this review after using it for two days",
800,Shikha,17 January 2021,1.0 out of 5 stars,"  Dislike battery , charging cable and even earphone not ear pods",
801,Amol,8 November 2020,5.0 out of 5 stars,"  As expected, iPhone never disappoints.",
802,Aman Mehrotra,12 June 2018,5.0 out of 5 stars,  Phone battery a very poor always shuts down and very soon,
803,Megha Tyagi,8 November 2020,1.0 out of 5 stars,  iPhones are the best but the quality has gone down since Steve Jobs passed away.,
804,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  This I phone is hanging alot and how can I change it nowKindly revert usThanks,
805,jaywant,29 October 2018,1.0 out of 5 stars,  Battery🔋 is not so good,
806,Anonymous,20 December 2019,5.0 out of 5 stars,  Magnifying tool not work,
807,Keshav g.,17 January 2021,2.0 out of 5 stars,  Product was damage.,
808,Sandeep Monga,10 August 2018,5.0 out of 5 stars,  This product is not supported to long time charging and hanging for continuing usage.,
809,Atul Kumar,9 July 2018,4.0 out of 5 stars,  Best,
810,Vivek Singh,11 July 2020,4.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Super",
811,Sumit,2 February 2018,5.0 out of 5 stars,  It’s an amazing product...captures the photographs in full HD..also its features are just wow,
812,Karthikeya,22 November 2020,1.0 out of 5 stars,  nice product but over priced,
813,SAIKAT GUIN,11 March 2019,5.0 out of 5 stars,  awesome experience,
814,Danish Humayun,14 July 2017,5.0 out of 5 stars,  Amazing phone love the matte black colour but not that gr8 battery life,
815,Amit kumar mishra,10 September 2019,5.0 out of 5 stars,  Osm product nice look.I really happy.Iphone 7.Thanks apple.,
816,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  One of that best devices apple had kept up til, Bought for great value for money on amazon. totally satisfied with delivery service of amazon and product from everyone.",
817,jaywant,29 October 2018,1.0 out of 5 stars,  Over rated,
818,Impana d raj,30 December 2018,1.0 out of 5 stars,  Great mobile for security,
819,Suman Ghosh,16 April 2021,1.0 out of 5 stars,  Phone is slow bad product,
820,ravi,29 November 2020,5.0 out of 5 stars,  Worthy,
821,Ravi Prakash Pathak,17 June 2021,4.0 out of 5 stars,  Not worth to buy in 2020,
822,Animesh,1 June 2018,5.0 out of 5 stars,  Product not good service very third class service,
823,M.srinivas,8 November 2020,5.0 out of 5 stars,  Veey bad product,
824,ASHOK RANGAYYA BANDA,24 October 2020,1.0 out of 5 stars,  Good,
825,Anu,10 July 2020,1.0 out of 5 stars,  Nice product. Delivery was on time without any defect,
826,PRAMOD RWT,30 September 2017,5.0 out of 5 stars,  Good product,
827,Milind gaikwad,25 November 2020,2.0 out of 5 stars,  Battery problem,
828,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Its heating,
829,jaywant,29 October 2018,1.0 out of 5 stars,  Not good,
830,Sristi Shil,13 November 2020,4.0 out of 5 stars,  Absolutely poor. Got a box which was already open before arriving and earphone was missing. It was a V-Day gift for my wife and they spoilt it. Had to return.,
831,Amazon Customer,29 July 2017,5.0 out of 5 stars,  I ordered it on Thursday evening and I received it by Saturday morning. Very impressed by the delivery time.,
832,satya jeet singh,23 September 2020,1.0 out of 5 stars,  Good quality,
833,Ajay,9 March 2021,1.0 out of 5 stars,  very handy and smooth to use,
834,Binu,28 February 2019,5.0 out of 5 stars,  Good Performance with high speed finger print reader is good camera rear camera is super but front camera should be improved battery life is so good..,
835,Amazon Customer,17 August 2018,1.0 out of 5 stars,  iPhone quality as expected and battery life can be improved,
836,Rupam Saha,8 May 2021,3.0 out of 5 stars,"  They should work on Camera and Battery quality, after paying this much of amount still doesn’t get the good quality pictures.",
837,Monika Vats,20 August 2020,5.0 out of 5 stars,  Overall it’s good package except battery life. You will have to charge it twice in a day.,
838,Bishwajeet r.,2 July 2020,5.0 out of 5 stars,  I ordered my IPHONE 7 during an offer and got it on an amazing Price of RS 39999. I am Writing this review after 8 months of use. My product is genuine as i have registered it with IPHONE CARE. So happy with the product.,
839,Govinda Manikwar,20 April 2021,1.0 out of 5 stars,  Very great product. Using since last 2 years and no issues.,
840,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Great packaging.. great delivery timings.. great apple.. 100% authentic product. I was very worried after hearing so many things about frauds on purchasing luxurious items like apple .. but I would reccomend amazon for buying apple products,
841,jaywant,29 October 2018,1.0 out of 5 stars,  Battery performance not good,
842,suresh,3 January 2021,2.0 out of 5 stars,"  The phone has been a satisfactory purchase so far, however The Bluetooth is very poor. I had an iPhone 6s which had a better Bluetooth compatibility. But iPhone 7 has extremely poor Bluetooth",
843,Akxu,1 September 2020,5.0 out of 5 stars,  Camera quality,
844,Prashant Dindure,27 September 2020,5.0 out of 5 stars,  Battery is not working properSo i will prefer to buy items from shop cos i found best quality which i was buy from shop.,
845,Customer,24 March 2021,5.0 out of 5 stars,  Earphone dose not workBattery life is very low and it’s work only 2 hours in 100% charge,
846,pankaj,16 April 2021,5.0 out of 5 stars,  Clarity is good,
847,Waste of money ,12 December 2020,1.0 out of 5 stars,  It is delivered with everything intact and the camera quality is just awesome!!!,
848,Mathai. K M,17 November 2020,1.0 out of 5 stars,  Excellent product for a very good price,
849,atul singh,11 November 2020,2.0 out of 5 stars,  Battery doesn't last for more than 6 hrs,
850,AJ,7 December 2017,5.0 out of 5 stars,  First phn of my life ND best one,
851,Ambikaprasad,2 November 2020,3.0 out of 5 stars,  New phones may be releasing often . But Iphone 7 Stay's as a legend .,
852,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Best in class, very fluid performance. You will love to have highly optimised iOS performance in terms of ram management.",
853,jaywant,29 October 2018,1.0 out of 5 stars,  I am very satisfied with the phone. The pricing was perfect for making me buy it and experience the iPhone.,
854,Sanjeev,17 December 2020,4.0 out of 5 stars,  good but battery poor,
855,Prachi Trivedi,4 May 2019,2.0 out of 5 stars,  Product name tells all.prompt delivery,
856,Sunil Saini,10 November 2020,1.0 out of 5 stars,  Ok,
857,Hp hemal,20 October 2020,5.0 out of 5 stars,  Good,
858,Yogesh singh,22 July 2018,5.0 out of 5 stars,"  Fingerprint is not good, battery life is very good, camera quality is average.",
859,Amazon Customer,16 August 2017,5.0 out of 5 stars,  I am really upset that my earphones are not wirkung properly. This has never happened before. It looks perfectly fine but one of the earplugs suddenly stopped working.,
860,Merrill Gonsalves,8 November 2018,5.0 out of 5 stars,  A so-so purchase.,
861,Muheeb Ahamad,2 November 2020,1.0 out of 5 stars,  Mobile very hot,
862,Amazon Customer,22 October 2020,3.0 out of 5 stars,  Best iphone ever it improves with time,
863,vyshnav setlur,24 November 2020,1.0 out of 5 stars,  If you are looking for batteryDon’t go for it. Better to go with keypad mobile,
864,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Best of my iPhone collection.I used iPhones from 3G to X.7 looks the best and comfort.,
865,jaywant,29 October 2018,1.0 out of 5 stars,  Good,
866,Vinayak Nibrad,1 March 2021,3.0 out of 5 stars,  So far no problem...touch wood,
867,Md. IRFAN HUSSAIN,27 April 2021,1.0 out of 5 stars,  One of my best investment,
868,Srikrishna ,10 October 2017,3.0 out of 5 stars,  Apple has its own standards. Purchased only after seeing the specs and reviews. So no point of commenting about battery life and camera. In terms of service Amazon stand on its promises.,
869,Satheesan,29 January 2018,5.0 out of 5 stars,"  I was ordered my iPhone7 during Amazon sale and got the best deal with HDFC card. Got my iphone7  @ Rs. 37,600 approx.Product is genuine 100% original.",
870,Mohit sharma,31 December 2020,1.0 out of 5 stars,  Except battery life I would say the iPhone 7 is great in every aspects. Can’t comparable to android devices currently in the market and the iOS experience is unique in its way.,
871,RAHUL BHAUSAHEB SHERMALE,26 February 2020,4.0 out of 5 stars,  Value for money with privacy and apple security.,
872,Girija Dogra,20 August 2020,5.0 out of 5 stars,"  Everything seems ok but my 5% discount on HDFC Credit card was not deducted from the amount, please have it credited in my account",
873,Maddy,27 October 2020,3.0 out of 5 stars,  Excellent,
874,Amazon Customer,3 November 2020,4.0 out of 5 stars,  Good quality,
875,Amazon Customer,24 February 2019,5.0 out of 5 stars,"  The phone is broken , i want my money refunded. U lost a customer ! Detached screen. !",
876,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Great but battery life is just above average,
877,jaywant,29 October 2018,1.0 out of 5 stars,  Battery backup is not good.,
878,santhosh k,17 December 2020,1.0 out of 5 stars,  Nice phone for sure,
879,Rajani,23 October 2020,5.0 out of 5 stars,  Amazing iPhone camera is pretty amazing,
880,Sanjib Karmakar,25 October 2019,5.0 out of 5 stars,  This is my 3 rd iphone and i am enjoying its usage,
881,Saurabh,10 January 2021,1.0 out of 5 stars,  Love the new home button. I don’t use the camera much but when ever I do it doesn’t disappoint me. iOS 12 is great. All the apps open faster and overall it’s a great upgrade from my old phone.,
882,Vicky Mech,10 February 2019,5.0 out of 5 stars,  except battery backup evrerything is awesome,
883,Jyoti Kumari,9 December 2020,1.0 out of 5 stars,  It doesn't need any description.,
884,Amazon Customer,30 November 2018,5.0 out of 5 stars,  Good phone,
885,Tutankhamen,9 January 2019,4.0 out of 5 stars,  Always works for what it designed for. No slowness and never hangs up.,
886,zafar,1 December 2020,1.0 out of 5 stars,  Nice product,
887,mayank,25 September 2017,4.0 out of 5 stars,  over heering not praparly work and hanging the mobile,
888,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  clean UI , the build quality and overall performance,battery performance is satisfactory",
889,jaywant,29 October 2018,1.0 out of 5 stars,  I think this is the best thing that is worth of 42K and no one will ever regret it after purchasing this piece of beauty and that too in a SALE :D :D :D :D,
890,Indrajeet Kushwaha,27 April 2021,4.0 out of 5 stars,  Perfect condition till now bought in dec 2016,
891,Sastry J.,31 December 2018,5.0 out of 5 stars,  What to say its iphone its still in my hands .love it,
892,Faruk Ikbal Hussain,6 February 2021,5.0 out of 5 stars,  Ok,
893,Ranjeet Kumar Vishwakarma,20 May 2020,5.0 out of 5 stars,  I like the size of the iphone which was the primary factor for me to purchase this iphone.,
894,vipul,23 October 2020,4.0 out of 5 stars,  Defected piece,
895,saikiran,7 November 2020,3.0 out of 5 stars,  DISLIKE,
896,Ambuj Kumar,26 May 2018,2.0 out of 5 stars,  Battery backup is not good enoughFacing issue also camera quality is not so goodI want to return this phone immediately,
897,Satya SS Mishra,14 December 2017,5.0 out of 5 stars,"  Best Buy, phone is not too bulky works well",
898,Mujeeb,11 December 2020,5.0 out of 5 stars,  Still working,
899,Pavan maddali,15 February 2020,5.0 out of 5 stars,  the product delivered does not work,
900,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Good,
901,jaywant,29 October 2018,1.0 out of 5 stars,  Good,
902,Durga,23 June 2019,5.0 out of 5 stars,  Nice product,
903,Amazon Customer,22 May 2019,5.0 out of 5 stars,"  Very bad ,battery health reduced to 92percentage after 24 days of delivery.very bad.",
904,Santhosh Yadav,30 December 2020,5.0 out of 5 stars,  Ys sr,
905,Rakesh Raina,9 October 2020,5.0 out of 5 stars,  Good quality phone but battery drains very fast,
906,Ramjin,29 September 2020,5.0 out of 5 stars,  Like,
907,PREM SARAN SINGH,16 January 2021,5.0 out of 5 stars,  Very bad product,
908,Asmita,19 April 2021,5.0 out of 5 stars,  Camera was too good and finger print was not that much good but worth of money,
909,AJ,14 May 2018,5.0 out of 5 stars,  battery not ok,
910,Amazon Customer,3 November 2017,5.0 out of 5 stars,  Battery discharge time is very fast .Some times touch is not responding.,
911,Aman rewani,26 November 2020,3.0 out of 5 stars,"  picture quality"", ""sound quality"" and ""battery life"" are best",
912,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  This is always a good buy. I would suggest everyone looking for a featured phone in this budget should go for this phone.its totally worth.,
913,jaywant,29 October 2018,1.0 out of 5 stars,  Bad experience with iPhone 7 with In a year wifi and Bluetooth is not working and when I am visit iPhone store he is asking me to charges up to 10k,
914,Thejaswi,4 February 2021,5.0 out of 5 stars,  great phone,
915,Walter Rebello,13 January 2019,5.0 out of 5 stars,  Best in class as expected.,
916,Nithin,24 February 2021,1.0 out of 5 stars,  Bty is giving up very soon,
917,omprakash,9 February 2021,5.0 out of 5 stars,"  Nice product, delivered on time.",
918,Shun,30 March 2021,5.0 out of 5 stars,  Class 🔥 _ Baloch,
919,Amazon Customer,22 October 2020,5.0 out of 5 stars,"  My bae loved it.....So, Uski khushi me meri khushi #obviously ;)",
920,vivek kumar,31 May 2021,1.0 out of 5 stars,  Out of 32 GB lot of space is occupied by unknown thingsStorage shd have been 64gb,
921,Sunil,17 November 2020,1.0 out of 5 stars,  Very item delivered. The battery life is zero. Kindly refund the amount,
922,Sanjayjain ,26 September 2020,5.0 out of 5 stars,  very bad experience  with i phonebecause phone. running very slow,
923,Piyush Kumar Singh,6 December 2020,5.0 out of 5 stars,  Very poor product in the Purchase order,
924,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Except for the battery life rest all is exceptional. Awsome speakers. Best stereo experience available in Phone.,
925,jaywant,29 October 2018,1.0 out of 5 stars,  Fantastic quality,
926,Anand R,16 January 2021,5.0 out of 5 stars,  Except Battery life everything is ok,
927,Amazon Customer,11 March 2020,5.0 out of 5 stars,  its a good phone. costly but a good one. gifted to my sis,
928,Kodali Manoj Kumar,1 October 2019,5.0 out of 5 stars,  Good,
929,Ayub’s,8 January 2018,5.0 out of 5 stars,  -,
930,ASHOK KUMAR,5 September 2019,5.0 out of 5 stars,  Nice phone,
931,Anandhu,3 November 2020,3.0 out of 5 stars,  Data cable and charger and head free are face  still my prlm not solve,
932,GOPI KOLLU,1 February 2021,1.0 out of 5 stars,  Display not working,
933,Ravichandra,20 May 2021,5.0 out of 5 stars,  Phone is not good it has heating issue,
934,vinod kumar,25 August 2020,5.0 out of 5 stars,"  Reader good, battery and camera fair",
935,Tanusree Biswas,13 April 2021,3.0 out of 5 stars,  battery gets discharged quickly .Can i return for replacement,
936,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Cant expect anything better, except the Ear Phones....",
937,jaywant,29 October 2018,1.0 out of 5 stars,  Value for  money,
938,Avi mishra,15 January 2021,3.0 out of 5 stars,  Nothing beats iphone... Awesome mobile :),
939,Bikash Kumar Agarwal,3 July 2020,1.0 out of 5 stars,  Apple iPhone 7 Nice Mobile Phone,
940,Amazon Customer,9 August 2020,4.0 out of 5 stars,  awesome clearty and quality,
941,ilyas,16 June 2021,1.0 out of 5 stars,  Only 7 days buying this phone showing 96% battery maximum capacity.,
942,Amazon Customer,14 February 2021,5.0 out of 5 stars,  Super happy to use,
943,pankaj chawla,9 March 2020,4.0 out of 5 stars,  Big issue with battery,
944,Naveen Kumar B S,20 October 2017,5.0 out of 5 stars,  Battery drains fast compared to other models,
945,Sujana,29 October 2020,1.0 out of 5 stars,  This phone is getting very heat if I use more times so I will use more 2 days if it’s still happens I will returns this product,
946,Karn,12 March 2021,1.0 out of 5 stars,  Everything is alright but battery back up not as per expectation.,
947,JAHAR SHOME,16 September 2020,4.0 out of 5 stars,  Great product no doubt,
948,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Good product,
949,jaywant,29 October 2018,1.0 out of 5 stars,  Very happy with the quick delivery of Amazon. And the product is one of the best in it's segment.,
950,deepakktomar,12 November 2019,5.0 out of 5 stars,  Everything is great about this phone...you can buy it without thinking for a second,
951,Sagar thakur,8 March 2018,5.0 out of 5 stars,  Ultimate phone  Excellent camera & amazing offer from Amazon. Thanks To Amazon,
952,Jomon Joy,25 November 2018,4.0 out of 5 stars,  Like it,
953,Anand Jayasankar,14 January 2021,5.0 out of 5 stars,  Poor performance and worst phone from apple,
954,likitha,2 February 2021,5.0 out of 5 stars,  No wonder people are after apple like crazy.,
955,Amazon Customer,16 September 2020,4.0 out of 5 stars,  Very good product.,
956,Sunil,31 January 2021,5.0 out of 5 stars,  ऐरफ़ोने लीड ख़राब आई हैऔर बेटरी हेल्थ 98 है,
957,Bridgit,16 September 2020,1.0 out of 5 stars,  Battery life is not good,
958,Amazon Customer,28 August 2018,5.0 out of 5 stars,  The battery life is very bad. I am doubtful if it  is a new product or an used one.,
959,Naresh,2 July 2020,1.0 out of 5 stars,  Can be better,
960,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Over heated while using and charging,
961,jaywant,29 October 2018,1.0 out of 5 stars,  Great phone. received in original condition.,
962,abdul hafeez,3 January 2021,2.0 out of 5 stars,"  It met my expectations from an iPhone , the overall high quality",
963,KCP,31 December 2017,5.0 out of 5 stars,  Good,
964,Aparna Dhavala,15 February 2021,1.0 out of 5 stars,  Liked the product,
965,Amit,27 November 2017,5.0 out of 5 stars,  Delivery was on time and product was good fully pact I was quite happy,
966,Saurabh mittal,9 January 2021,1.0 out of 5 stars,  Battery backup is getting Low within 6 to 7 hours though battery health is 100percent,
967,Hari Ram,30 November 2020,4.0 out of 5 stars,  Simply Superb.,
968,Surjeet,13 January 2021,1.0 out of 5 stars,  Awesome,
969,ajay,18 October 2017,1.0 out of 5 stars,  Worth buying Apple make great product,
970,Rambabu Niddana,28 April 2021,1.0 out of 5 stars,  The product was awesome. I am using iphone for the first time. I am happy with it,
971,Kiran Deshmukh,23 February 2021,5.0 out of 5 stars,  overall performance and outer look surb. charging cable is not strong.,
972,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  almost 2 years with this phone.having no problems other than storage space.this depends on your usage.,
973,jaywant,29 October 2018,1.0 out of 5 stars,  Got the defective iPhone.!Headphone Port is defective.!And to replace or repair this phone i need to go through a long procedure.!,
974,ANADI GIRI,21 October 2020,5.0 out of 5 stars,  It's a great phone to have..used to have the iPhone 5s..so the phone feels a bit bigger..but the bigger the better..overall experience has been amazing with the 3D Touch..can't wait to explore more,
975,MANISHA TAILOR,13 December 2019,5.0 out of 5 stars,  Good,
976,giftfromgod,9 February 2019,4.0 out of 5 stars,  Completely blew my mind .iPhone 7 is really worth the price .Go for it u won't regret it!!,
977,Hitesh Vadhiya,28 September 2020,4.0 out of 5 stars,  Nice product and timely delivery,
978,Keyona p.,17 December 2020,4.0 out of 5 stars,  Very good camera quality and good battery life too.,
979,Nikhil kumar,11 February 2020,5.0 out of 5 stars,  Great! Sent it as gift to my niece. She loves it :). It came in all original and genuine packaging,
980,Kaushal Gosai,1 December 2017,5.0 out of 5 stars,"  First thing I would like to share that I got this product well on time and again this is iPhone, so all and all good experience.",
981,Vineet Singh,7 February 2021,1.0 out of 5 stars,  Received product safelyOriginally I phone 💕,
982,Vamsee Krishna PABBU,1 March 2021,5.0 out of 5 stars,  No,
983,Bhojraj gida,13 November 2020,1.0 out of 5 stars,"  Not long lasting,battery is poor as always",
984,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Amazing camera quality and good battery life,
985,jaywant,29 October 2018,1.0 out of 5 stars,  battery is showing charhing but its not getting charged,
986,damini,24 December 2020,5.0 out of 5 stars,  Genuine original product,
987,Shreyash Gajbhiye,16 November 2020,1.0 out of 5 stars,  Battery backup is very poor and its takes longer time to get full charged than my old samsung phone.,
988,Monuswamy,28 January 2021,1.0 out of 5 stars,  Iphone's do not need any recommendation.,
989,Ravi nunia,13 February 2021,1.0 out of 5 stars,  Ok,
990,Amazon Customer,27 August 2019,5.0 out of 5 stars,  Good phoneBattery issue,
991,NAYAN K.,11 January 2018,5.0 out of 5 stars,  Battery could have been better,
992,Dr Mayur Kaushik,12 February 2020,5.0 out of 5 stars,  Good fingerprint reader excellent battery life good camera quality,
993,Manish khan,21 March 2021,2.0 out of 5 stars,  Bought on 25th APRIL....2017 and now the touch is not working. Kindly suggest what can done now.,
994,Riya Joy,28 October 2020,4.0 out of 5 stars,"  battery life is really low, one should opt for plus model",
995,vijaykumar v,10 February 2021,1.0 out of 5 stars,  It’s just Fabulous I am impressed,
996,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Excellent,
997,jaywant,29 October 2018,1.0 out of 5 stars,  I phone 7 has amazing but battery backup is very bad so I will change this phone,
998,Animesh Das,16 February 2018,1.0 out of 5 stars,  Good,
999,Sweta Sanyal,31 October 2020,5.0 out of 5 stars,"  It is heating too much. Not able to take any load like video call , charging time etc",
1000,divya,3 December 2020,4.0 out of 5 stars,  Wast money mobile performance not ok...no Battery life,
1001,Amazon Customer,2 September 2020,5.0 out of 5 stars,  Very poor quality  phone switch off  after 10 days !!!,
1002,Anilkumar Neelam,17 July 2019,4.0 out of 5 stars,  Fingerprint very good.battery life Full day .excellent camera pic,
1003,Sachin M,4 August 2019,4.0 out of 5 stars,  Gud,
1004,Abhinav,29 October 2018,4.0 out of 5 stars,  like is phone size dislikes are battery quickly dies after few updatesno priceworth,
1005,Rajesh  singh,17 July 2020,5.0 out of 5 stars,  Not good battery life,
1006,Abhishek,7 July 2018,5.0 out of 5 stars,  Original product,
1007,Abhi,12 September 2020,5.0 out of 5 stars,"  Phone was continuesly restarting automatically while using , Worst product",
1008,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Amazing,
1009,jaywant,29 October 2018,1.0 out of 5 stars,"  Thank you amazon for the amazing offer on this phone! I bought this phone for 38k and also I got it before the estimated date as well. The phone is really amazing, well it's an iPhone...it doesn't need a review lol.",
1010,dhruvangi,2 November 2017,5.0 out of 5 stars,"  Exact product, so pleasured to use amazon🐾  Thank uh my favieee☺ and also thnz to delivery partner, nice one👍",
1011,Rajiv ranjan kumar,26 November 2020,4.0 out of 5 stars,"  It is not something that people applaud,quality it's not like",
1012,Bhatt,29 January 2019,4.0 out of 5 stars,  Excellent,
1013,Khalid ansari,20 December 2020,4.0 out of 5 stars,  Not good,
1014,Shekhar,1 March 2020,3.0 out of 5 stars,  Amazing product,
1015,Ravi,27 January 2021,1.0 out of 5 stars,  Overall good 👌,
1016,Ramya,6 October 2019,5.0 out of 5 stars,  Nice,
1017,Reshmi A.,2 May 2021,5.0 out of 5 stars,  Good phone,
1018,Preetam,4 January 2019,5.0 out of 5 stars,  Excellent,
1019,Naveen Kumar,23 March 2021,3.0 out of 5 stars,  Superb iphone in this price range,
1020,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Camera is very good nice handy phone not like other bulky ones,
1021,jaywant,29 October 2018,1.0 out of 5 stars,"  Phone is fine but phone charge has stopped working just after few days, not sure how to get it replaced",
1022,Poonam rani,24 October 2020,5.0 out of 5 stars,  Battery not good,
1023,Likhith,3 August 2020,5.0 out of 5 stars,  Best and good quality,
1024,Afroz Khan,8 July 2020,5.0 out of 5 stars,  Despite of Billion Day traffic my phone arrived within 2 days.. ios users who are looking for upgrade can surely buy at this competitive price of 40K,
1025,Rajib,7 October 2018,5.0 out of 5 stars,  I just want to replace it Pls helpPhone getting switch off Automatically,
1026,swapnil,26 June 2020,5.0 out of 5 stars,  Worth buying it. New home button is amazing. Good phone  just bought from amazon . But delivery was some late anways phone is great . :),
1027,lejeev,6 June 2019,5.0 out of 5 stars,  Very gud phone,
1028,Ajay Kumar Singh,7 October 2020,5.0 out of 5 stars,  I think this is the best phone for middle class families.. including me also..😜😜,
1029,Rupasree Nagaruru,7 April 2019,5.0 out of 5 stars,  Battery back is very poor and now support from customer care from iPhone or amazon,
1030,Chhabi Patel,28 March 2021,3.0 out of 5 stars,  iPhone 7 very good and thank you Amazon for Genuine product,
1031,bhagyashree,6 February 2018,2.0 out of 5 stars,"  Phone is good. Review is mainly related to Amazon service. Everything was perfect. Packing, Delivery speed, Security.",
1032,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  The speed of working. You don't need to wait after pressing the button.,
1033,jaywant,29 October 2018,1.0 out of 5 stars,  Other than battery everything is nice,
1034,sandeep sarangi,8 October 2019,5.0 out of 5 stars,  Camera quality and battery performance very bad,
1035,Thulasidharan,19 January 2021,1.0 out of 5 stars,  Good Product worth for the money,
1036,Mayur Y.,8 June 2021,5.0 out of 5 stars,  The battery drains too fast. I didnt expect it from amazon to give me this kind of product. Everything is good except the batteries,
1037,krishan singal,15 January 2021,5.0 out of 5 stars,  Its my second iphone. The product is good and as usual great on performance.,
1038,rajendra varma a,22 March 2019,5.0 out of 5 stars,  Battery  backup is notgood,
1039,Rao,24 June 2021,5.0 out of 5 stars,  Value for money,
1040,Rajni Oberoi,19 February 2018,5.0 out of 5 stars,"  This iPhone has problem in video recording..Once I record it and I play, volume goes high and very low in recorded video.Rest are OK.RegardsRajeev Ranjan.",
1041,Ranjith Varatharajan,10 April 2019,5.0 out of 5 stars,  I do not like this product because incoming call ringtone is not working atall.,
1042,Mohammad Thariq,29 December 2018,4.0 out of 5 stars,"  Not worth the money, battery life not as expected, want to return the item",
1043,Mayank R,25 September 2017,5.0 out of 5 stars,"  Before buying I read all the reviews and little bit scared about product, but the delivered product is awesome and genuine. Thank you Amazon.",
1044,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  Nice to handle.small frame and overall good handset.,
1045,jaywant,29 October 2018,1.0 out of 5 stars,  battery backup is not Good,
1046,Amazon Customer,15 November 2018,4.0 out of 5 stars,  As usual great,
1047,Anup,23 August 2019,5.0 out of 5 stars,  The experience is not at all that great. I can see flaws which apple customer care denies when i call the support,
1048,Bipan Gakhar,22 November 2018,2.0 out of 5 stars,  Liked the look of the phone. Great features and totally worth the price,
1049,Ashu,24 April 2021,5.0 out of 5 stars,  The battery capacity is getting  98In a one week time period,
1050,Devendra S.,19 April 2019,5.0 out of 5 stars,  Battery life is very poor,
1051,Roma kapoor,19 December 2020,1.0 out of 5 stars,  Price up and down,
1052,Piyush,19 November 2020,4.0 out of 5 stars,  just amazing phone. i am in love with the camera and specially with the taptic feedback.hatsoff to amazon for delivering this phone within 24 hours.,
1053,Saurabh,2 November 2020,3.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Screen glasses",
1054,Vineet Saxena,5 October 2020,5.0 out of 5 stars,  Worst battery life..Hang issue is also there with device...,
1055,Rajpalmeena ,18 August 2019,5.0 out of 5 stars,  Very bad,
1056,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  This rose gold colour is very eye catching and the way iPhone fits in your hand is just amazing. And this is very trustworthy seller to buy phone,
1057,jaywant,29 October 2018,1.0 out of 5 stars,  Very good,
1058,Bharath ch,24 November 2018,5.0 out of 5 stars,  Excellent phone and awesome service by Amazon,
1059,Dharma Boyapalli,3 December 2018,5.0 out of 5 stars,  The product is awesome But lightening connector was missing in the box,
1060,Ravindra Reddy,31 October 2018,5.0 out of 5 stars,  Worth of Buying,
